idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,MinDiam
271,016.0-04.3,"M 1-54",18:36:08.4,-16:59:57.01,16.5,
273,016.4-01.9,"M 1-46",18:27:56.3,-15:32:54.42,12.1,11.3
275,016.9-02.0,"Sa 3-134",18:29:19.8,-15:07:39.97,10.8,
276,017.0+11.1,"GLMP 621",17:42:14.4,-08:43:18.62,13.0,13.0
279,017.6-01.1,"VSP 2-18",18:27:13.4,-14:08:34.58,12.4,
280,017.6-10.2,"Abell 51",19:01:01.39,-18:12:15.5,59.2,59.0
282,017.9-04.8,"M 3-30",18:41:14.9,-15:33:41.40,19.1,18.4
286,018.9+04.1,"M 3-52",18:10:26.4,-10:29:04.78,11.6,
287,019.2-04.4,"PM 1-251",18:42:24.8,-14:15:11.81,18.5,
288,019.2-02.2,"M 4-10",18:34:13.8610,-13:12:24.658,12.3,
291,019.4-13.6,"DeHt 3",19:17:04.11,-18:01:35.8,33.0,32.0
300,020.9-01.1,"M 1-51",18:33:29.0,-11:07:26.40,19.9,
302,021.2-03.9,"We 1-7",18:44:06.2,-12:12:55.44,20.5,19.7
303,021.7-00.6,"M 3-55",18:33:14.8,-10:15:19.44,12.2,9.3
304,021.8-00.4,"M 3-28",18:32:41.3,-10:05:50.03,24.1,12.1
308,022.1-02.4,"M 1-57",18:40:20.3,-10:39:47.16,12.0,5.0
309,022.5+01.0,"MaC 1-13",18:28:35.2,-08:43:22.84,18.0,14.0
313,023.8-01.7,"K 3-11",18:41:07.3,-08:55:58.98,11.1,
317,024.2+05.9,"M 4-9",18:14:18.4,-04:59:21.30,47.9,42.6
318,024.2-05.2,"M 4-11",18:54:17.8,-10:05:12.84,29.0,26.0
319,024.3-03.3,"Pe 1-17",18:47:48.8,-09:09:06.95,14.7,7.6
321,025.0-11.6,"Abell 60",19:19:17.8,-12:14:35.99,94.0,72.0
322,025.3+40.8,"IC 4593",16:11:44.5,12:04:17.08,15.3,14.7
325,025.8-17.9,"NGC 6818",19:43:57.7,-14:09:11.66,24.7,24.7
332,026.6-01.5,"K 4-5",18:45:36.6,-06:18:34.34,64.0,
335,027.3-03.4,"Abell 49",18:53:28.30,-06:28:43.5,56.0,38.2
336,027.4-03.5,"Vy 1-4",18:54:01.9,-06:26:19.82,15.0,
338,027.6+16.9,"DeHt 2",17:41:41.0,03:06:54.90,94.0,
341,028.0+10.2,"WeSb 3",18:06:00.8,00:22:38.57,50.7,43.1
344,028.5+01.6,"M 2-44",18:37:36.9,-03:05:55.97,11.3,10.4
346,028.7-03.9,"Pe 1-21",18:57:49.7,-05:27:40.14,11.1,10.4
347,029.0+00.4,"Abell 48",18:42:46.9,-03:13:17.29,43.5,38.5
349,029.2-05.9,"NGC 6751",19:05:55.6,-05:59:32.93,24.1,23.2
350,029.8-07.8,"LSA 1",19:13:55.7,-06:18:52.20,14.0,14.0
352,030.8+03.4,"Abell 47",18:35:22.6,-00:13:49.69,17.5,12.3
356,031.3-00.5,"HaTr 10",18:50:24.6,-01:40:17.98,32.0,19.5
357,031.7+01.7,"PC 20",18:43:03.45,-00:16:37.5,12.0,5.0
358,031.9-00.3,"WeSb 4",18:50:40.3,-01:03:11.16,42.0,33.0
363,032.7+05.6,"K 3-4",18:31:00.2,02:25:27.34,19.7,
368,033.0-05.3,"Abell 55",19:10:25.8,-02:20:23.46,56.8,52.3
369,033.1-06.3,"NGC 6772",19:14:36.4,-02:42:25.06,80.7,70.8
370,033.2-01.9,"Sa 3-151",18:58:51.7,-00:32:57.48,13.0,9.0
